id,word,num
0,2023,0.5424126315789474
1,мобилизация,2.4932148470911426
2,2022,0.5711739795918368
3,руб,0.42341632653061223
4,мобилизовать,0.4889800941915227
5,госдума,0.28055918367346944
6,минфин,0.38782320135118287
7,цб,0.4738327827139477
8,из-за,0.2700640721404841
9,ндс,1.2774900575770165
10,ндфл,1.3290030383645648
11,отсрочка,0.3673469387755102
12,тыс,0.3355925925925926
13,копа,0.09667912087912087
14,фнс,0.1783265306122449
15,налоговик,0.1971918367346939
16,данные,0.14579470899470898
17,млн,0.13832049689440995
18,вычет,0.1291948051948052
19,15,0.11240578231292517
20,ип,1.1697985216228353
21,михаил,0.08367346938775509
22,премьер-министр,0.08154285714285714
23,30,0.10951428571428572
24,it-компания,0.1654326530612245
25,2021,0.11610300120048019
26,минцифра,0.1836734693877551
27,минтруд,0.07626122448979593
28,мишустин,0.07486530612244899
29,самозанятой,0.48470323823502437
30,алексей,0.10726530612244899
31,владимир,0.07348979591836734
32,нк,0.07417551020408163
33,портал,0.055926530612244896
34,минэкономразвития,0.07142857142857142
35,уведомление,0.1094997084548105
36,физлицо,0.08633935860058309
37,путин,0.12406938775510204
38,вебинар,0.08738775510204082
39,«мир»,0.06837142857142857
40,31,0.062234693877551026
41,млрд,0.10611616954474098
42,ипотека,0.06575102040816327
43,сергей,0.07322886297376094
44,малое,0.12123673469387755
45,облагаться,0.06594761904761903
46,пеня,0.04564761904761905
47,«известиям»,0.09785714285714286
48,среднее,0.10949795918367349
49,госуслуга,0.07688163265306122
50,10,0.054595578231292526
51,мошенник,0.08742040816326531
52,мораторий,0.04583673469387755
53,днр,0.07528163265306123
54,тк,0.12244897959183673
55,приостановка,0.1089469387755102
56,максим,0.06753061224489795
57,александр,0.09046122448979592
58,17,0.06820816326530611
59,12,0.06520964749536177
60,военкомат,0.09043413729128014
61,платёжный,0.04426419294990724
62,10%,0.04080816326530612
63,лнр,0.07191428571428571
64,аккредитация,0.09217052154195012
65,казахстан,0.05281795918367347
66,усн,0.5392911200807265
67,лимит,0.05882979591836735
68,16,0.03884489795918367
69,трлн,0.03352380952380952
70,0%,0.03392489795918367
71,риа,0.05371020408163265
72,вс,0.061763265306122445
73,аккредитовать,0.09528798185941044
74,пфр,0.0933265306122449
75,профильный,0.08108673469387755
76,бухучёт,0.06733333333333334
77,маркетплейс,0.0536281179138322
78,20%,0.03693877551020408
79,иа,0.03998775510204082
80,херсонский,0.07344081632653061
81,запорожский,0.07344081632653061
82,фсс,0.49559673424456474
83,набиуллин,0.04729795918367348
84,ккт,0.049833236151603504
85,13,0.05448163265306123
86,роструд,0.038318367346938775
87,субсидия,0.030375510204081635
88,центробанк,0.029118367346938775
89,аудиторский,0.031717784256559765
90,недружественный,0.023938775510204083
91,рбк,0.024473469387755103
92,regnum,0.022510204081632658
93,21,0.05790612244897959
94,27,0.05360408163265305
95,100,0.08163265306122448
96,турция,0.027061224489795917
97,пресс-служба,0.02681224489795918
98,22,0.06700874635568513
99,эльвира,0.04334285714285714
100,11,0.034826822157434406
101,минпромторг,0.031167346938775504
102,юань,0.03426530612244898
103,чм,0.03688571428571428
104,юрлицо,0.02230204081632653
105,мосбиржа,0.08163265306122448
106,вице-премьер,0.019473469387755103
107,повыситься,0.025355102040816323
108,it,0.07142857142857142
109,контрактник,0.07142857142857142
110,300,0.07142857142857142
111,оквэда,0.4362558480873314
112,бронь,0.05961428571428571
113,банкомат,0.07142857142857142
114,минобороны,0.06722448979591836
115,фсб,0.2692986881937437
116,кадровик,0.24000091734703238
117,прожиточный,0.044009523809523804
118,бренд,0.03103673469387755
119,замглавы,0.021783673469387754
120,2024,0.030551020408163265
121,роскомнадзор,0.03369387755102041
122,кадастровый,0.041125714285714286
123,антон,0.021526530612244896
124,белоруссия,0.015551020408163266
125,эмитент,0.15311095312356662
126,решетник,0.013506122448979592
127,кабмин,0.041804081632653055
128,андрей,0.019142857142857142
129,ефс-1,0.061224489795918366
130,сзв-тд,0.061224489795918366
131,приостанавливаться,0.05578367346938776
132,критически,0.03486530612244898
133,соответствующий,0.02039591836734694
134,рассылка,0.05557142857142857
135,2025,0.029081632653061223
136,проиндексировать,0.025122448979591837
137,ифнс,0.031983673469387755
138,ozon,0.03372244897959183
139,wildberries,0.04384081632653061
140,псн,0.26018255205944407
141,нпд,0.20273369415649942
142,ужесточить,0.031204081632653063
143,приостановление,0.02
144,крым,0.02284408163265306
145,сверка,0.026979591836734696
146,по-прежнему,0.035457142857142854
147,400,0.019575510204081634
148,депозит,0.3033551967709385
149,28,0.01626938775510204
150,сбербанк,0.01648979591836735
151,минсельхоз,0.01729795918367347
152,облагать,0.01740816326530612
153,конвертация,0.088409320245849
154,скорее,0.021281632653061225
155,мсп,0.02070612244897959
156,сазан,0.035861224489795916
157,брокер,0.013277551020408162
158,аусна,0.014272653061224489
159,еаэс,0.01733877551020408
160,23,0.0526204081632653
161,зампред,0.01883265306122449
162,пф,0.03146938775510204
163,60,0.05102040816326531
164,сво,0.1595744680851064
165,увольнять,0.05102040816326531
166,тд,0.05102040816326531
167,бухгалтерия,0.027804081632653063
168,30%,0.04520408163265306
169,возобновление,0.03196734693877551
170,заблокировать,0.028404081632653063
171,главбух,0.03548163265306122
172,кто-то,0.02607482993197279
173,володин,0.02451836734693878
174,санкционный,0.015722448979591838
175,75%,0.03316326530612245
176,6%,0.03266122448979592
177,нетрудоспособность,0.01842857142857143
178,аванс,0.16282909824786718
179,избежание,0.020918367346938773
180,минтранс,0.016846938775510203
181,ооо,0.020903061224489795
